rcp_scenario,region,season,year_30yravg,status,percentile,value
4.5,French,Annual,2055,Projected,25,3.23166639618
4.5,French,Annual,2055,Projected,50,4.17252432822
4.5,French,Annual,2055,Projected,75,5.1139310087
4.5,French,Annual,2055,Projected,90,5.54263023295
4.5,French,Annual,2075,Projected,10,3.13389889369
4.5,French,Annual,2075,Projected,25,3.66743430973
4.5,French,Annual,2075,Projected,50,4.89906786227
4.5,French,Annual,2075,Projected,75,5.90451176496
4.5,French,Annual,2075,Projected,90,6.34944710496
4.5,French,Annual,2090,Projected,10,3.42105677453
4.5,French,Annual,2090,Projected,25,4.10186795155
4.5,French,Annual,2090,Projected,50,5.28290293122
4.5,French,Annual,2090,Projected,75,6.54129611767
4.5,French,Annual,2090,Projected,90,7.66315898402
8.5,French,Annual,2035,Projected,10,2.4198600067
8.5,French,Annual,2035,Projected,25,3.29238717101
8.5,French,Annual,2035,Projected,50,3.75219815779
8.5,French,Annual,2035,Projected,75,3.96229965783
8.5,French,Annual,2035,Projected,90,4.36724685127
8.5,French,Annual,2055,Projected,10,4.24125961811
8.5,French,Annual,2055,Projected,25,4.74847125663
8.5,French,Annual,2055,Projected,50,5.5481744647
8.5,French,Annual,2055,Projected,75,6.39322107715
8.5,French,Annual,2055,Projected,90,7.34378586689
8.5,French,Annual,2075,Projected,10,5.73473594998
8.5,French,Annual,2075,Projected,25,6.4328731043
8.5,French,Annual,2075,Projected,50,7.75752190534
8.5,French,Annual,2075,Projected,75,8.99205680912
8.5,French,Annual,2075,Projected,90,10.8262670661
8.5,French,Annual,2090,Projected,10,6.94455781268
8.5,French,Annual,2090,Projected,25,7.8374329719
8.5,French,Annual,2090,Projected,50,9.59317294543
8.5,French,Annual,2090,Projected,75,11.0722610897
8.5,French,Annual,2090,Projected,90,12.7777834985
N/A,Housatonic,Annual,1985,Observed,N/A,44.3206802788
4.5,Housatonic,Annual,2035,Projected,10,2.17209590735
4.5,Housatonic,Annual,2035,Projected,25,2.52638149734
4.5,Housatonic,Annual,2035,Projected,50,2.98599479274
4.5,Housatonic,Annual,2035,Projected,75,3.99009666366
4.5,Housatonic,Annual,2035,Projected,90,4.43626323672
4.5,Housatonic,Annual,2055,Projected,10,2.94340536482
4.5,Housatonic,Annual,2055,Projected,25,3.26933673142
4.5,Housatonic,Annual,2055,Projected,50,4.29972927135
4.5,Housatonic,Annual,2055,Projected,75,5.23589745402
4.5,Housatonic,Annual,2055,Projected,90,5.74125096476
4.5,Housatonic,Annual,2075,Projected,10,3.19970785349
4.5,Housatonic,Annual,2075,Projected,25,3.81443276245
4.5,Housatonic,Annual,2075,Projected,50,4.96458704702
4.5,Housatonic,Annual,2075,Projected,75,6.06304601602
4.5,Housatonic,Annual,2075,Projected,90,6.66956754422
4.5,Housatonic,Annual,2090,Projected,10,3.55563941907
4.5,Housatonic,Annual,2090,Projected,25,4.35080538707
4.5,Housatonic,Annual,2090,Projected,50,5.28312890199
4.5,Housatonic,Annual,2090,Projected,75,6.64438649232
4.5,Housatonic,Annual,2090,Projected,90,7.9738248011
8.5,Housatonic,Annual,2035,Projected,10,2.60726651074
8.5,Housatonic,Annual,2035,Projected,25,3.42526285782
8.5,Housatonic,Annual,2035,Projected,50,3.81392818827
8.5,Housatonic,Annual,2035,Projected,75,4.10584012132
8.5,Housatonic,Annual,2035,Projected,90,4.68711499452
8.5,Housatonic,Annual,2055,Projected,10,4.43492975011
8.5,Housatonic,Annual,2055,Projected,25,5.01473825925
