featureid,huc8,AreaSqKM,impoundArea,agriculture,devel_hi,forest,mean_jul_temp,occ_current,occ_air_2,occ_air_4,occ_air_6,occ_45_2035,occ_45_2055,occ_45_2075,occ_45_2090,occ_85_2035,occ_85_2055,occ_85_2075,occ_85_2090
201479475,01090001,1.1407185399933835,0.127449,0.195274,4.95346,53.911,20.844169758855152,0.27513825200595965,0.08078831483451028,0.019944398763359905,0.004689924539427653,0.11699482358184837,0.07641964603868195,0.06667413523409169,0.05006444382581401,0.09265905014331147,0.04129322453850731,0.01558246829086257,0.007360601647913535
201479476,01070005,1.2802504771989307,0.18768899999999997,4.51756,5.31533,56.39,19.72252345170696,0.6074909548119704,0.30729980845157645,0.1128129626745559,0.03516602185375853,0.36611897280610195,0.26218562728696504,0.24161591757569806,0.21220676639208105,0.2990248903110833,0.1707699289033511,0.07892965839553302,0.03849462505425591
201479478,01090001,0.32899085544942874,0.11856499999999999,0,5.40084,81.4103,19.87324628766841,0.4950442752690584,0.18466345570112216,0.04972193946416415,0.011943522585163503,0.2546530928809261,0.17573813171076572,0.1554289556623968,0.1194912316298122,0.20837621588792385,0.0998067950892507,0.03909277708580369,0.018680157600803896
201479480,01080203,0.6883219167199192,0.0271168,0.350489,0,96.1418,16.50768888935872,0.996801070775174,0.989802474642634,0.9679841791769969,0.9040112493247937,0.9917224911643309,0.9870094834223658,0.9852121320857593,0.9831925313051845,0.9885768284362528,0.9775146452955032,0.9471743126860928,0.894294638822606
201479483,01080201,4.311444448450096,0.035683999999999994,6.03634,0.102372,77.8436,,,,,,,,,,,,,
201479489,01070005,0.875720889815015,0.20249199999999998,2.20465,3.31896,48.0053,19.86525384776496,0.573779294411016,0.2763703953626037,0.09776019159325838,0.02982330449108342,0.33258921319828255,0.23393423514037437,0.21478383115968758,0.18762132642074422,0.2685421136989694,0.14978931176395677,0.0678456840275656,0.032687720321760816
201479491,01090001,1.4365299716023436,0.15402400000000002,1.04747,4.25574,50.0735,21.271942004062875,0.19992389831955576,0.05514614444264338,0.013448913330383496,0.0031739792469851146,0.08069044533960017,0.05210324339302956,0.045344413453543876,0.03391481656432186,0.06345634685080571,0.02792248685066059,0.010507895877133444,0.004972361961007297
201479492,01080203,0.7448794713710282,0.025587,5.6032400000000004,0,78.6495,17.260270654623902,0.9933484592368204,0.9789755061375043,0.9355595937968209,0.8190596475331838,0.982895918192185,0.9733023659003462,0.9696699812405086,0.9656054326017118,0.9764816526029455,0.9542733340002266,0.8959799305206457,0.8026352190969432
201479495,01070005,1.1757610697616039,0.21094,2.95425,6.20872,54.0445,19.673013456605617,0.6189664738516869,0.3175020373872713,0.11756286325079386,0.036750755856537747,0.37725463943567294,0.2714458984700256,0.25038167261370553,0.2201949039211632,0.3090690299451149,0.17752193762493876,0.08236421017949822,0.04022568278038973
201479497,01080201,4.311476247578929,0.0356817,6.03789,0.102364,77.838,,,,,,,,,,,,,
201479498,01080201,0.7670222164482889,0.0113881,7.44845,0,72.4299,18.682138317461746,0.9572111472639055,0.8576639496278279,0.618761963514726,0.30418915088312626,0.8853537646398099,0.8216496961393258,0.8000613345488433,0.7783760305118546,0.8415772479964394,0.7090803783735843,0.4656078155503024,0.2663089375488392
201479499,01080204,0.7973506514389317,0.06357639999999999,5.08037,0,79.2019,19.272319103101516,0.9368530657276551,0.7689327336715805,0.4273985688060702,0.1434113888449895,0.8056518662895119,0.7046762832158879,0.6756504055652908,0.6372284364009074,0.7330229840852986,0.544323572549243,0.28343777740761317,0.13231742320792267
201479500,01080204,0.49004280026422253,0.0553291,4.68841,0,92.6056,18.73208473708288,0.9617655268363304,0.8495330099516404,0.558937977617227,0.221449884285043,0.8755065507591743,0.8019402933753633,0.7794930594755929,0.7488132428857552,0.8232829495761234,0.6697099919336799,0.40182690329532506,0.20577613634868816
201479501,01070004,1.2562485700258654,0.08470939999999999,1.56149,1.6463,65.0456,20.012405916874705,0.8598055188459023,0.5838573818701179,0.24297859199734484,0.06840418140673685,0.644007190574343,0.5172288232874959,0.48258900226223983,0.43809623763140393,0.5459550937454072,0.3492176353429252,0.1619462104417843,0.07365773748106622
201479502,01080204,1.9313347861942183,0.06059330000000001,4.81015,0,86.0481,20.541567788326656,0.8110158340069721,0.48838813450440305,0.17515329799352428,0.04510466181519145,0.5435077001906714,0.4059016918309567,0.3734366159388123,0.334266954924855,0.44033434244630487,0.25413345834541684,0.10082721770233193,0.041228729169452846
201479504,01070005,1.0803089463246598,0.256284,2.9997,4.66038,57.5043,19.647240701622643,0.6248888919235295,0.3229140378526678,0.1201325274036371,0.03761761458766331,0.3831296241240214,0.2763792406783761,0.25506082423481546,0.22447126605380457,0.3144013099889299,0.1811517400056435,0.08423004458544311,0.04117196601637731
201479505,01090001,0.7060602971762041,0.0933239,3.59483,0.12396,89.3617,19.90776311066292,0.48661399551368606,0.1792821025521406,0.04793072988462808,0.011469331475691754,0.2294625359386323,0.14500083314607762,0.12840463047257655,0.1013269787234517,0.17787773463014528,0.07820197836463237,0.029668524287461723,0.01384723266032826
201479506,01080204,1.2471185587482028,0.0294477,1.13613,0,89.7007,19.38362994001069,0.930103383109641,0.7479873599162381,0.3983212492072391,0.1286625225327963,0.7872514227259453,0.6800565186382053,0.6496975000694025,0.6098237882899,0.7099015190699904,0.5148785959316304,0.25925484369243856,0.11851500895068956
201479507,01080204,1.0046222657007826,0.025111300000000003,0.204809,0,92.2167,19.197952583397146,0.9410186148362538,0.7807999849076296,0.44298105469686705,0.15078224977139545,0.8161866615361488,0.7184273019073586,0.6900685477897648,0.6523560410719912,0.7460125361879159,0.5603594411139028,0.29607842476944907,0.13917603265302336
201479508,01090001,2.3680636355062434,0.138482,1.24561,4.35809,56.0569,,,,,,,,,,,,,
201479513,01070005,2.0767896726287627,0.148951,4.31294,1.58973,60.7233,21.85968601812238,0.16085579402982875,0.05381163984896597,0.016593207593918937,0.004981119738042618,0.06847455889051098,0.04382665908205065,0.03958613736683154,0.03382682662996117,0.05190481801318041,0.026257709043746275,0.01136489410508411,0.005454725952996105
201479515,01070005,1.889961328929625,0.101563,3.07275,1.97468,51.7814,20.925293527534134,0.32329043121685264,0.11983408847413192,0.03735156810397678,0.010936805077159316,0.15072636615736107,0.09824388979908388,0.08894415302971263,0.0761951447238542,0.1157451077679209,0.05924804518354205,0.025436925238093232,0.012005674854993188
201479518,01070005,1.4026241462939852,0.09786670000000001,1.86972,0.573382,57.524,20.003300982232947,0.5405044823125454,0.24924463911033676,0.08567197502155578,0.0257638262674246,0.3024816654477501,0.20961338714979408,0.19188467513116853,0.16690516583658896,0.24189796776256084,0.13244042213410695,0.05912237456338137,0.028260412606333735
201479520,01070005,0.9228655303963137,0.30194600000000005,2.97753,3.4075,57.9739,19.64564269711869,0.6252549179201342,0.3226687512351063,0.11973080970075248,0.03738336591343511,0.38299838662793584,0.2760596363296105,0.2547126643226727,0.22408961073413172,0.3141413609608466,0.18074115097884957,0.08387177341770835,0.040924440046014754
201479521,01070005,1.1278366481939577,0.231997,2.80944,5.89379,53.4232,19.695119497862407,0.6138582371899644,0.31285318627064396,0.11535344482899938,0.03600040300909054,0.37220478777416727,0.2672096636961822,0.24636407338576857,0.21652326657654505,0.304489003139813,0.17440474389994928,0.08075729974171364,0.0394070969830224
201479522,01070005,1.5699716772313883,0.164878,5.24964,3.85184,43.7614,20.52314803258163,0.41443157666539066,0.16944700343455665,0.05554429909917124,0.016670488515511946,0.20967602035346017,0.14058857968521463,0.12796026753798365,0.11044664764095947,0.1640296753802342,0.08679008428570124,0.0381882681630442,0.018273936439192343
